"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CGI_10000725" 267.002414202418 2.28573600865751 0.549277461862728 4.161350441917 3.16371160701908e-05 0.000722520099836961
"CGI_10000738" 290.845285020988 0.856260787554539 0.31842107725199 2.68908325712659 0.00716485468497215 0.043711391686947
"CGI_10000748" 210.57903985941 2.32076526533252 0.65477085119238 3.54439306683591 0.000393518096164066 0.0051735804156081
"CGI_10000760" 21.0835367648447 1.6056475878025 0.543215476668785 2.95582076867355 0.00311838245948099 0.0237091088502248
"CGI_10000839" 500.827421642508 1.24990895159617 0.418374722563645 2.9875345812892 0.00281237475858865 0.0219147966167106
"CGI_10000840" 27.2183989399524 1.51633280069566 0.522423909279761 2.90249503087664 0.00370203032952569 0.0269882221620702
"CGI_10000852" 792.560558296959 -1.50964369850691 0.341118326916183 -4.42557194787674 9.61870904585813e-06 0.000275453125294322
"CGI_10000853" 128.788867607267 -2.02588482791523 0.386708023455195 -5.23879698645547 1.61626714885521e-07 9.28637542867569e-06
"CGI_10000860" 414.607943628221 -1.46718924202061 0.461752221584605 -3.17743840405494 0.00148582247702921 0.0140943536535749
"CGI_10000871" 96.1207314811452 -1.62516731069357 0.419533249216844 -3.87375092135683 0.000107172950772903 0.00189467584638056
"CGI_10000877" 295.12715426715 -2.2025698831592 0.527735075760297 -4.17362798935811 2.99787120132871e-05 0.000699606035106994
"CGI_10000886" 102.389985335235 -1.9785276802032 0.481490667655068 -4.10917139856299 3.97081290599574e-05 0.000867558112169177
"CGI_10000890" 91.014160905028 1.53506098867827 0.378642241933516 4.05411974332173 5.03234357158829e-05 0.00104539164629013
"CGI_10000909" 89.9020615027348 1.33903408509126 0.504814320378756 2.65252793162959 0.00798915175465427 0.0471557344790322
"CGI_10000936" 66.5691900195826 2.30746919707326 0.744057143347907 3.10119890347498 0.00192738776529532 0.016972061458702
"CGI_10000942" 63.3347561398958 -2.91524598018718 0.43785166390079 -6.65806760722447 2.77451155039403e-11 4.62147079898661e-09
"CGI_10000947" 876.437163329129 -3.50410801855486 0.36411002969036 -9.623761316146 6.34669634693709e-22 6.77827169852881e-19
"CGI_10000948" 400.44902841421 -3.75706969128834 0.433207157244418 -8.67268610054052 4.22044219449043e-18 3.06505393932673e-15
"CGI_10000968" 298.909228455036 1.52973665780137 0.534050647283335 2.86440371448476 0.00417795150556638 0.0292311705337431
